report_file,report_group,experiment,status,language_reported,language_guess,corpus_family,source,input,input_bytes,input_chars,cleaned_chars,null_samples,seed,tool_version,hyphen_policy,encoding,encoding_sequence_len,encoding_unique_symbols,encoding_symbol_entropy_bits,event,event_description,event_count,severity,code,interpretation_level,message,raw_alert
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_basho_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme_class,42,,,vowel,Positions classified as vowel in the grapheme-class stream.,13,info,STATISTICAL_DEVIATION,1,"Metric 'gap_entropy' deviates from 'density_shuffle' null with z=-5.788. This is a tripwire, not a conclusion.","{""code"": ""STATISTICAL_DEVIATION"", ""severity"": ""info"", ""interpretation_level"": 1, ""message"": ""Metric 'gap_entropy' deviates from 'density_shuffle' null with z=-5.788. This is a tripwire, not a conclusion.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_basho_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme_class,42,,,vowel,Positions classified as vowel in the grapheme-class stream.,13,warning,PERIODICITY_OR_CLUSTERING_WARNING,1,"Gap entropy is substantially lower than the 'density_shuffle' null expectation. Inspect for periodicity, clustering, repeated material, genre constraints, or local phonotactic regularity.","{""code"": ""PERIODICITY_OR_CLUSTERING_WARNING"", ""severity"": ""warning"", ""interpretation_level"": 1, ""message"": ""Gap entropy is substantially lower than the 'density_shuffle' null expectation. Inspect for periodicity, clustering, repeated material, genre constraints, or local phonotactic regularity.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_basho_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme_class,42,,,consonant,Positions classified as consonant in the grapheme-class stream.,15,warning,WINDOW_TOO_SMALL,0,The event map has fewer than 128 positions; positional and spectral metrics may be unstable.,"{""code"": ""WINDOW_TOO_SMALL"", ""severity"": ""warning"", ""interpretation_level"": 0, ""message"": ""The event map has fewer than 128 positions; positional and spectral metrics may be unstable.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_basho_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme_class,42,,,consonant,Positions classified as consonant in the grapheme-class stream.,15,info,STATISTICAL_DEVIATION,1,"Metric 'gap_entropy' deviates from 'density_shuffle' null with z=-3.505. This is a tripwire, not a conclusion.","{""code"": ""STATISTICAL_DEVIATION"", ""severity"": ""info"", ""interpretation_level"": 1, ""message"": ""Metric 'gap_entropy' deviates from 'density_shuffle' null with z=-3.505. This is a tripwire, not a conclusion.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_basho_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme_class,42,,,consonant,Positions classified as consonant in the grapheme-class stream.,15,warning,PERIODICITY_OR_CLUSTERING_WARNING,1,"Gap entropy is substantially lower than the 'density_shuffle' null expectation. Inspect for periodicity, clustering, repeated material, genre constraints, or local phonotactic regularity.","{""code"": ""PERIODICITY_OR_CLUSTERING_WARNING"", ""severity"": ""warning"", ""interpretation_level"": 1, ""message"": ""Gap entropy is substantially lower than the 'density_shuffle' null expectation. Inspect for periodicity, clustering, repeated material, genre constraints, or local phonotactic regularity.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_basho_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme_class,42,,,digit,Positions classified as digit in the grapheme-class stream.,0,warning,WINDOW_TOO_SMALL,0,The event map has fewer than 128 positions; positional and spectral metrics may be unstable.,"{""code"": ""WINDOW_TOO_SMALL"", ""severity"": ""warning"", ""interpretation_level"": 0, ""message"": ""The event map has fewer than 128 positions; positional and spectral metrics may be unstable.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_basho_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme_class,42,,,digit,Positions classified as digit in the grapheme-class stream.,0,warning,LOW_EVENT_COUNT,0,The event occurs fewer than five times; gap and prime-position metrics are weak evidence.,"{""code"": ""LOW_EVENT_COUNT"", ""severity"": ""warning"", ""interpretation_level"": 0, ""message"": ""The event occurs fewer than five times; gap and prime-position metrics are weak evidence.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_basho_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme_class,42,,,digit,Positions classified as digit in the grapheme-class stream.,0,warning,DEGENERATE_EVENT_MAP,0,The event map is all false or all true; many metrics collapse to trivial values.,"{""code"": ""DEGENERATE_EVENT_MAP"", ""severity"": ""warning"", ""interpretation_level"": 0, ""message"": ""The event map is all false or all true; many metrics collapse to trivial values.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_basho_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme_class,42,,,whitespace,Positions classified as whitespace in the grapheme-class stream.,9,warning,WINDOW_TOO_SMALL,0,The event map has fewer than 128 positions; positional and spectral metrics may be unstable.,"{""code"": ""WINDOW_TOO_SMALL"", ""severity"": ""warning"", ""interpretation_level"": 0, ""message"": ""The event map has fewer than 128 positions; positional and spectral metrics may be unstable.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_basho_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme_class,42,,,punctuation,Positions classified as punctuation in the grapheme-class stream.,5,warning,WINDOW_TOO_SMALL,0,The event map has fewer than 128 positions; positional and spectral metrics may be unstable.,"{""code"": ""WINDOW_TOO_SMALL"", ""severity"": ""warning"", ""interpretation_level"": 0, ""message"": ""The event map has fewer than 128 positions; positional and spectral metrics may be unstable.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_basho_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme_class,42,,,hyphen_boundary,Positions classified as hyphen_boundary in the grapheme-class stream.,0,warning,WINDOW_TOO_SMALL,0,The event map has fewer than 128 positions; positional and spectral metrics may be unstable.,"{""code"": ""WINDOW_TOO_SMALL"", ""severity"": ""warning"", ""interpretation_level"": 0, ""message"": ""The event map has fewer than 128 positions; positional and spectral metrics may be unstable.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_basho_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme_class,42,,,hyphen_boundary,Positions classified as hyphen_boundary in the grapheme-class stream.,0,warning,LOW_EVENT_COUNT,0,The event occurs fewer than five times; gap and prime-position metrics are weak evidence.,"{""code"": ""LOW_EVENT_COUNT"", ""severity"": ""warning"", ""interpretation_level"": 0, ""message"": ""The event occurs fewer than five times; gap and prime-position metrics are weak evidence.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_basho_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme_class,42,,,hyphen_boundary,Positions classified as hyphen_boundary in the grapheme-class stream.,0,warning,DEGENERATE_EVENT_MAP,0,The event map is all false or all true; many metrics collapse to trivial values.,"{""code"": ""DEGENERATE_EVENT_MAP"", ""severity"": ""warning"", ""interpretation_level"": 0, ""message"": ""The event map is all false or all true; many metrics collapse to trivial values.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_basho_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme_class,42,,,other,Positions classified as other in the grapheme-class stream.,0,warning,WINDOW_TOO_SMALL,0,The event map has fewer than 128 positions; positional and spectral metrics may be unstable.,"{""code"": ""WINDOW_TOO_SMALL"", ""severity"": ""warning"", ""interpretation_level"": 0, ""message"": ""The event map has fewer than 128 positions; positional and spectral metrics may be unstable.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_basho_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme_class,42,,,other,Positions classified as other in the grapheme-class stream.,0,warning,LOW_EVENT_COUNT,0,The event occurs fewer than five times; gap and prime-position metrics are weak evidence.,"{""code"": ""LOW_EVENT_COUNT"", ""severity"": ""warning"", ""interpretation_level"": 0, ""message"": ""The event occurs fewer than five times; gap and prime-position metrics are weak evidence.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_basho_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme_class,42,,,other,Positions classified as other in the grapheme-class stream.,0,warning,DEGENERATE_EVENT_MAP,0,The event map is all false or all true; many metrics collapse to trivial values.,"{""code"": ""DEGENERATE_EVENT_MAP"", ""severity"": ""warning"", ""interpretation_level"": 0, ""message"": ""The event map is all false or all true; many metrics collapse to trivial values.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_basho_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,word_boundary,42,,,word_boundary,Positions marked as word boundaries after declared whitespace preprocessing.,9,warning,WINDOW_TOO_SMALL,0,The event map has fewer than 128 positions; positional and spectral metrics may be unstable.,"{""code"": ""WINDOW_TOO_SMALL"", ""severity"": ""warning"", ""interpretation_level"": 0, ""message"": ""The event map has fewer than 128 positions; positional and spectral metrics may be unstable.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_basho_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,frequency_class,13,,,hapax,Token positions in frequency class hapax.,10,warning,WINDOW_TOO_SMALL,0,The event map has fewer than 128 positions; positional and spectral metrics may be unstable.,"{""code"": ""WINDOW_TOO_SMALL"", ""severity"": ""warning"", ""interpretation_level"": 0, ""message"": ""The event map has fewer than 128 positions; positional and spectral metrics may be unstable.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_basho_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,frequency_class,13,,,mid_frequency,Token positions in frequency class mid_frequency.,3,warning,WINDOW_TOO_SMALL,0,The event map has fewer than 128 positions; positional and spectral metrics may be unstable.,"{""code"": ""WINDOW_TOO_SMALL"", ""severity"": ""warning"", ""interpretation_level"": 0, ""message"": ""The event map has fewer than 128 positions; positional and spectral metrics may be unstable.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_basho_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,frequency_class,13,,,mid_frequency,Token positions in frequency class mid_frequency.,3,warning,LOW_EVENT_COUNT,0,The event occurs fewer than five times; gap and prime-position metrics are weak evidence.,"{""code"": ""LOW_EVENT_COUNT"", ""severity"": ""warning"", ""interpretation_level"": 0, ""message"": ""The event occurs fewer than five times; gap and prime-position metrics are weak evidence.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_basho_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,frequency_class,13,,,high_frequency,Token positions in frequency class high_frequency.,0,warning,WINDOW_TOO_SMALL,0,The event map has fewer than 128 positions; positional and spectral metrics may be unstable.,"{""code"": ""WINDOW_TOO_SMALL"", ""severity"": ""warning"", ""interpretation_level"": 0, ""message"": ""The event map has fewer than 128 positions; positional and spectral metrics may be unstable.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_basho_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,frequency_class,13,,,high_frequency,Token positions in frequency class high_frequency.,0,warning,LOW_EVENT_COUNT,0,The event occurs fewer than five times; gap and prime-position metrics are weak evidence.,"{""code"": ""LOW_EVENT_COUNT"", ""severity"": ""warning"", ""interpretation_level"": 0, ""message"": ""The event occurs fewer than five times; gap and prime-position metrics are weak evidence.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_basho_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,frequency_class,13,,,high_frequency,Token positions in frequency class high_frequency.,0,warning,DEGENERATE_EVENT_MAP,0,The event map is all false or all true; many metrics collapse to trivial values.,"{""code"": ""DEGENERATE_EVENT_MAP"", ""severity"": ""warning"", ""interpretation_level"": 0, ""message"": ""The event map is all false or all true; many metrics collapse to trivial values.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_thomas_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme,1002,,,vowel,Basic Latin-vowel positions plus common accented vowels.,305,info,STATISTICAL_DEVIATION,1,"Metric 'gap_entropy' deviates from 'density_shuffle' null with z=-107.209. This is a tripwire, not a conclusion.","{""code"": ""STATISTICAL_DEVIATION"", ""severity"": ""info"", ""interpretation_level"": 1, ""message"": ""Metric 'gap_entropy' deviates from 'density_shuffle' null with z=-107.209. This is a tripwire, not a conclusion.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_thomas_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme,1002,,,vowel,Basic Latin-vowel positions plus common accented vowels.,305,warning,PERIODICITY_OR_CLUSTERING_WARNING,1,"Gap entropy is substantially lower than the 'density_shuffle' null expectation. Inspect for periodicity, clustering, repeated material, genre constraints, or local phonotactic regularity.","{""code"": ""PERIODICITY_OR_CLUSTERING_WARNING"", ""severity"": ""warning"", ""interpretation_level"": 1, ""message"": ""Gap entropy is substantially lower than the 'density_shuffle' null expectation. Inspect for periodicity, clustering, repeated material, genre constraints, or local phonotactic regularity.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_thomas_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme,1002,,,vowel,Basic Latin-vowel positions plus common accented vowels.,305,info,STATISTICAL_DEVIATION,1,"Metric 'run_entropy' deviates from 'density_shuffle' null with z=-12.150. This is a tripwire, not a conclusion.","{""code"": ""STATISTICAL_DEVIATION"", ""severity"": ""info"", ""interpretation_level"": 1, ""message"": ""Metric 'run_entropy' deviates from 'density_shuffle' null with z=-12.150. This is a tripwire, not a conclusion.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_thomas_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme,1002,,,vowel,Basic Latin-vowel positions plus common accented vowels.,305,warning,OVER_REGULARITY_WARNING,1,"Run entropy is substantially lower than the 'density_shuffle' null expectation. Possible causes include genuine structure, repeated boilerplate, encoding artefact, formal constraint, or local transition structure not captured by this null.","{""code"": ""OVER_REGULARITY_WARNING"", ""severity"": ""warning"", ""interpretation_level"": 1, ""message"": ""Run entropy is substantially lower than the 'density_shuffle' null expectation. Possible causes include genuine structure, repeated boilerplate, encoding artefact, formal constraint, or local transition structure not captured by this null.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_thomas_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme,1002,,,vowel,Basic Latin-vowel positions plus common accented vowels.,305,info,STATISTICAL_DEVIATION,1,"Metric 'prime_gap_affinity' deviates from 'density_shuffle' null with z=10.149. This is a tripwire, not a conclusion.","{""code"": ""STATISTICAL_DEVIATION"", ""severity"": ""info"", ""interpretation_level"": 1, ""message"": ""Metric 'prime_gap_affinity' deviates from 'density_shuffle' null with z=10.149. This is a tripwire, not a conclusion.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_thomas_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme,1002,,,vowel,Basic Latin-vowel positions plus common accented vowels.,305,info,STATISTICAL_DEVIATION,2,"Metric 'gap_entropy' deviates from 'markov_1' null with z=-11.590. This is a tripwire, not a conclusion.","{""code"": ""STATISTICAL_DEVIATION"", ""severity"": ""info"", ""interpretation_level"": 2, ""message"": ""Metric 'gap_entropy' deviates from 'markov_1' null with z=-11.590. This is a tripwire, not a conclusion.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_thomas_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme,1002,,,vowel,Basic Latin-vowel positions plus common accented vowels.,305,warning,PERIODICITY_OR_CLUSTERING_WARNING,2,"Gap entropy is substantially lower than the 'markov_1' null expectation. Inspect for periodicity, clustering, repeated material, genre constraints, or local phonotactic regularity.","{""code"": ""PERIODICITY_OR_CLUSTERING_WARNING"", ""severity"": ""warning"", ""interpretation_level"": 2, ""message"": ""Gap entropy is substantially lower than the 'markov_1' null expectation. Inspect for periodicity, clustering, repeated material, genre constraints, or local phonotactic regularity.""}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\mesu_register_v0_3_nulls100\mesu_thomas_text_only.json,mesu_register_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme,1002,,,consonant,Alphabetic non-vowel positions under the MVP classifier.,350,info,STATISTICAL_DEVIATION,1,"Metric 'gap_entropy' deviates from 'density_shuffle' null with z=-52.533. This is a tripwire, not a conclusion.","{""code"": ""STATISTICAL_DEVIATION"", ""severity"": ""info"", ""interpretation_level"": 1, ""message"": ""Metric 'gap_entropy' deviates from 'density_shuffle' null with z=-52.533. This is a tripwire, not a conclusion.""}"
